Security,Start Rating,End Rating,Current Market Cap
LYB UN Equity,BBB+,BBB,21622770424.68
AXP UN Equity,BBB+,BBB+,75081274533.25
VZ UN Equity,BBB+,BBB+,239634699611.70
AVGO UW Equity,BBB-,BBB-,131108380405.17
BA UN Equity,A-,BBB-,92936484711.70
CAT UN Equity,A,A,71384053123.46
JPM UN Equity,A-,A-,290893848284.15
CVX UN Equity,AA,AA,160970899203.00
KO UN Equity,A+,A+,200382225571.35
ABBV UN Equity,A-,BBB+,167623861705.08
DIS UN Equity,A,A-,213067225004.28
FLT UN Equity,BB+,BB+,21939425384.80
EXR UN Equity,BBB,BBB,13475349025.71
XOM UN Equity,AA+,AA,183081547211.60
PSX UN Equity,BBB+,BBB+,26931083022.20
GE UN Equity,BBB+,BBB+,54007793130.00
HPQ UN Equity,BBB,BBB,25524729826.05
HD UN Equity,A,A,287842184359.95
IBM UN Equity,A,A,110912677275.92
CXO UN Equity,BBB-,BBB-,10268123095.80
JNJ UN Equity,AAA,AAA,386524814364.75
MCD UN Equity,BBB+,BBB+,147937937970.72
MRK UN Equity,AA-,AA-,206824851590.54
MMM UN Equity,A+,A+,86748527965.20
AWK UN Equity,A,A,26492704634.70
BAC UN Equity,A-,A-,216602444200.00
BKR UN Equity,A-,A-,16509035761.34
PFE UN Equity,AA-,AA-,214499905410.71
PG UN Equity,AA-,AA-,328691069728.01
T UN Equity,BBB,BBB,214391250000.00
NBL UW Equity,BBB,BBB-,4884046017.52
TRV UN Equity,A,A,28757453542.92
RTX UN Equity,BBB+,A-,87931835499.28
ADI UW Equity,BBB,BBB,43374282203.00
WMT UN Equity,AA,AA,371354055898.50
CSCO UW Equity,AA-,AA-,199925725164.70
INTC UW Equity,A+,A+,206908450000.00
GM UN Equity,BBB,BBB,36850735184.00
MSFT UW Equity,AAA,AAA,1595639621344.75
DG UN Equity,BBB,BBB,48854172378.24
CI UN Equity,A-,A-,64463562900.00
KMI UN Equity,BBB,BBB,32662819934.55
C UN Equity,BBB+,BBB+,104303190000.00
AIG UN Equity,BBB+,BBB+,25811851000.00
HON UN Equity,A,A,103428802857.70
MO UN Equity,BBB,BBB,76956228134.82
HCA UN Equity,BB+,BB+,43095865417.00
UAA UN Equity,BB,BB,4241369577.48
IP UN Equity,BBB,BBB,13939072709.22
HPE UN Equity,BBB,BBB,12776909906.48
ABT UN Equity,A-,A-,177832033099.56
AFL UN Equity,A-,A-,25308389419.00
APD UN Equity,A,A,61865887886.32
RCL UN Equity,BBB-,BB,10675622505.75
AEP UN Equity,A-,A-,42729177727.26
HES UN Equity,BBB-,BBB-,15507700206.57
ADM UN Equity,A,A,23770573911.42
ADP UW Equity,AA,AA,58464250500.00
VRSK UW Equity,BBB,BBB,30436564041.38
AZO UN Equity,BBB,BBB,28131346126.16
AVY UN Equity,BBB,BBB,9414531084.00
MSCI UN Equity,BB+,BB+,30564371059.20
BLL UN Equity,BB+,BB+,24450235800.00
CARR UN Equity,BBB,BBB,23958123014.88
BK UN Equity,A,A,31811304420.00
OTIS UN Equity,BBB,BBB,26920218922.80
BAX UN Equity,A-,A-,41652746908.96
BDX UN Equity,BBB,BBB,82045538525.37
BRK/B UN Equity,AA,AA,485361159112.70
BBY UN Equity,BBB,BBB,26014303921.95
HRB UN Equity,BBB,BBB,2680659521.70
BSX UN Equity,BBB-,BBB-,54104621784.64
BMY UN Equity,A+,A+,134268010061.70
FBHS UN Equity,BBB+,BBB+,10707876360.71
BF/B UN Equity,A-,A-,31885826059.62
COG UN Equity,#N/A,#N/A,7748392886.64
CPB UN Equity,BBB-,BBB-,15238152003.18
KSU UN Equity,BBB,BBB,16302610017.72
HLT UN Equity,BB+,BB,21523809158.18
CCL UN Equity,A-,BB-,9958441962.88
QRVO UW Equity,BB+,BB+,14851882294.61
CTL UN Equity,BB,BB,10898196071.46
UDR UN Equity,BBB+,BBB+,10436515333.38
CLX UN Equity,A-,A-,29658673477.18
PAYC UN Equity,#N/A,#N/A,16560729310.52
CMS UN Equity,BBB+,BBB+,18024232494.24
NWL UW Equity,BB+,BB+,6993409000.00
CL UN Equity,AA-,AA-,65633984391.40
CMA UN Equity,BBB+,BBB+,5298789552.28
IPGP UW Equity,#N/A,#N/A,8644024022.69
CAG UN Equity,BBB-,BBB-,18486025370.96
ED UN Equity,A-,A-,25441870498.30
SLG UN Equity,BBB-,BBB-,3620348941.14
GLW UN Equity,BBB+,BBB+,23759803108.90
CMI UN Equity,A+,A+,28612132193.75
DHR UN Equity,A,BBB+,145776421915.13
TGT UN Equity,A,A,64932010232.80
DE UN Equity,A,A,55954766154.35
D UN Equity,BBB+,BBB+,67568098010.00
DOV UN Equity,BBB+,BBB+,14850522416.60
LNT UW Equity,A-,A-,13398351589.80
DUK UN Equity,A-,A-,61953150000.00
REG UW Equity,BBB+,BBB+,6973473216.33
ETN UN Equity,A-,A-,37905474000.00
ECL UN Equity,A-,A-,55057196134.88
PKI UN Equity,BBB,BBB,13465475421.09
EMR UN Equity,A,A,37204786931.00
EOG UN Equity,A-,A-,28217587219.68
AON UN Equity,A-,A-,46492222435.20
ETR UN Equity,BBB+,BBB+,20674726162.86
EFX UN Equity,BBB,BBB,19767200964.00
IQV UN Equity,BB+,BB+,30721942558.92
IT UN Equity,BB,BB,11259368837.10
FDX UN Equity,BBB,BBB,44820414265.60
FMC UN Equity,BBB-,BBB-,13898744146.08
F UN Equity,BBB-,BB+,27013261282.84
NEE UN Equity,A-,A-,137404954691.82
BEN UN Equity,A+,A,10506513782.94
FCX UN Equity,BB,BB,18599745614.94
GPS UN Equity,BB,BB-,5000772619.44
DXCM UW Equity,#N/A,#N/A,41805834686.55
GD UN Equity,A+,A,42362704851.04
GIS UN Equity,BBB,BBB,40208680575.52
GPC UN Equity,#N/A,#N/A,13122270631.44
ATO UN Equity,A,A,12837816404.48
GWW UN Equity,A+,A+,18259390498.24
HAL UN Equity,A-,BBB+,13106778382.92
LHX UN Equity,BBB,BBB,36130218805.80
PEAK UN Equity,BBB+,BBB+,14667864666.75
FTV UN Equity,BBB,BBB,23402873897.85
HSY UN Equity,A,A,30246470191.40
SYF UN Equity,BBB-,BBB-,13379664852.12
HRL UN Equity,A,A,27464985409.68
AJG UN Equity,#N/A,BBB,20265078960.00
MDLZ UW Equity,BBB,BBB,79658429444.88
CNP UN Equity,BBB+,BBB+,9952607629.80
HUM UN Equity,BBB+,BBB+,52235939922.59
WLTW UW Equity,BBB,BBB,26556430541.26
ITW UN Equity,A+,A+,58738087479.68
CDW UW Equity,BB+,BB+,16890311158.56
TT UN Equity,BBB,BBB,26687988617.00
IPG UN Equity,BBB,BBB,7287658926.24
IFF UN Equity,BBB,BBB,13467032830.02
J UN Equity,#N/A,#N/A,11959608565.85
HBI UN Equity,BB,BB,4992625513.50
K UN Equity,BBB,BBB,23894614385.20
BR UN Equity,BBB+,BBB+,15671437708.71
PRGO UN Equity,BBB-,BBB-,7505413821.84
KMB UN Equity,A,A,52759995033.20
KIM UN Equity,BBB+,BBB+,4963229068.28
KSS UN Equity,BBB,BBB-,3042743026.32
ORCL UN Equity,A+,A,171140395140.00
KR UN Equity,BBB,BBB,27289637484.96
LEG UN Equity,BBB,BBB-,5039746270.50
LEN UN Equity,BB+,BB+,22258198845.72
LLY UN Equity,A+,A+,147851190103.76
LB UN Equity,BB-,B+,6991573655.05
CHTR UW Equity,BB+,BB+,142170823636.53
LNC UN Equity,A-,A-,7155101198.35
L UN Equity,A,A,10003444506.99
LOW UN Equity,BBB+,BBB+,113152265889.25
HST UN Equity,BBB-,BBB-,7750842655.92
XRX UN Equity,BB+,BB,3362737115.40
IEX UN Equity,BBB,BBB,12509809624.70
MMC UN Equity,A-,A-,59420953942.65
MAS UN Equity,BBB,BBB,14998863010.15
SPGI UN Equity,#N/A,#N/A,83472760000.00
MDT UN Equity,A,A,130642511106.80
CVS UN Equity,BBB,BBB,84941297587.55
DD UN Equity,A-,BBB+,39046965265.75
MU UW Equity,BBB-,BBB-,56783131903.92
MSI UN Equity,BBB-,BBB-,23346844160.64
CBOE UF Equity,A-,A-,9571781282.83
MYL UW Equity,BBB-,BBB-,8537383569.51
LH UN Equity,BBB,BBB,19033031400.00
NEM UN Equity,BBB,BBB,55701011842.80
NKE UN Equity,AA-,AA-,151636765848.29
NI UN Equity,BBB+,BBB+,9244607248.80
NSC UN Equity,BBB+,BBB+,48560045166.45
PFG UW Equity,A-,A-,11905875932.26
ES UN Equity,A-,A-,30955764267.89
NOC UN Equity,BBB,BBB,54055367787.12
WFC UN Equity,A-,BBB+,99499137585.75
NUE UN Equity,A-,A-,12938254018.17
PVH UN Equity,BBB-,BBB-,3383592047.22
OXY UN Equity,BBB,BB+,14626962782.37
OMC UN Equity,BBB+,BBB+,11605059783.24
OKE UN Equity,BBB,BBB,12988465018.00
RJF UN Equity,BBB+,BBB+,9657130000.00
PH UN Equity,A-,BBB+,23367623701.50
ROL UN Equity,#N/A,#N/A,17469545052.70
PPL UN Equity,A-,A-,20670196730.00
COP UN Equity,A,A,40559119626.84
PHM UN Equity,BB+,BB+,11872225008.20
PNW UN Equity,A-,A-,9142343331.66
PNC UN Equity,A-,A-,44755335580.93
PPG UN Equity,A-,BBB+,25582305922.83
PGR UN Equity,A,A,52817435843.85
PEG UN Equity,BBB+,BBB+,28170586028.80
RHI UN Equity,#N/A,#N/A,5942685294.72
EIX UN Equity,BBB,BBB,20802154395.00
SLB UN Equity,A+,A,26679315500.46
SCHW UN Equity,A,A,43063962274.35
SHW UN Equity,BBB,BBB-,59637525990.00
WST UN Equity,#N/A,#N/A,20272960341.30
SJM UN Equity,BBB,BBB,12927270849.36
SNA UN Equity,A-,A-,7843669829.47
AME UN Equity,BBB+,BBB+,21653801031.72
SO UN Equity,A-,A-,57458882853.00
TFC UN Equity,A-,A-,49955863109.24
LUV UN Equity,BBB+,BBB,18793325360.88
WRB UN Equity,BBB+,BBB+,10984614929.97
SWK UN Equity,A,A,24867238148.85
PSA UN Equity,A,A,35108870760.70
ANET UN Equity,#N/A,#N/A,20151028068.88
SYY UN Equity,BBB+,BBB-,27061113607.53
CTVA UN Equity,A-,A-,21661781330.49
TXN UW Equity,A+,A+,120107707740.27
TXT UN Equity,BBB,BBB,8270846134.20
TMO UN Equity,BBB+,BBB+,164652220068.00
TIF UN Equity,BBB+,BBB+,15244782654.62
TJX UN Equity,A+,A,63176037937.56
GL UN Equity,A,A,8428826645.42
JCI UN Equity,BBB+,BBB+,28422615531.40
ULTA UW Equity,#N/A,#N/A,10965016365.92
UNP UN Equity,A-,A-,116936771688.00
KEYS UN Equity,BBB,BBB,18721472018.33
UNH UN Equity,A+,A+,293140569146.52
UNM UN Equity,BBB,BBB,3474717546.18
MRO UN Equity,BBB,BBB-,4556151297.31
VAR UN Equity,#N/A,#N/A,15960738163.50
BIO UN Equity,BBB,BBB,15647272947.60
VTR UN Equity,BBB+,BBB+,14299959575.45
VFC UN Equity,A,A,23346295681.02
VNO UN Equity,BBB,BBB,7051565628.38
VMC UN Equity,BBB,BBB+,16111959614.52
WY UN Equity,BBB,BBB-,20701446580.00
WHR UN Equity,BBB,BBB,10434215185.00
WMB UN Equity,BBB,BBB,25563609296.94
WEC UN Equity,A-,A-,30010441279.34
ADBE UW Equity,A,A,212563650662.85
AES UN Equity,BB+,BB+,10262846876.63
AMGN UW Equity,A-,A-,143202127987.50
AAPL UW Equity,AA+,AA+,1877302620380.00
ADSK UW Equity,BBB,BBB,52107443802.96
CTAS UW Equity,A-,A-,31140782730.56
CMCSA UW Equity,A-,A-,197204903508.03
TAP UN Equity,BBB-,BBB-,8261899070.23
KLAC UW Equity,BBB+,BBB+,31400502012.88
MAR UW Equity,BBB,BBB-,27691456251.20
MKC UN Equity,BBB,BBB,26454619146.80
PCAR UW Equity,A+,A+,29439965986.20
COST UW Equity,A+,A+,148621296359.71
FRC UN Equity,A-,A-,19370915814.90
SYK UN Equity,A-,A-,71845879910.64
TSN UN Equity,BBB+,BBB+,23407441098.30
LW UN Equity,BB+,BB+,9038162355.04
AMAT UW Equity,A-,A-,59222891913.66
AAL UW Equity,BB-,B-,5919651937.32
CAH UN Equity,BBB,BBB,16961491253.98
CERN UW Equity,#N/A,#N/A,21129349513.69
CINF UW Equity,BBB+,BBB+,12509577083.85
VIAC UW Equity,BBB,BBB,16533553385.16
DHI UN Equity,BBB,BBB,24619026489.47
FLS UN Equity,BBB-,BBB-,3693932853.60
EA UW Equity,BBB+,BBB+,41797180503.06
EXPD UW Equity,#N/A,#N/A,14246081521.60
FAST UW Equity,#N/A,#N/A,27109580214.02
MTB UN Equity,A-,A-,13331029540.00
XEL UW Equity,A-,A-,36563824358.40
FISV UW Equity,BBB,BBB,67825452508.11
FITB UW Equity,BBB+,BBB+,13895061020.00
GILD UW Equity,A,A,88707960000.00
HAS UW Equity,BBB-,BBB-,10235596735.80
HBAN UW Equity,BBB+,BBB+,9343988519.86
WELL UN Equity,BBB+,BBB+,22552231623.94
BIIB UW Equity,A-,A-,43852831467.00
NTRS UW Equity,A+,A+,16545445011.30
PKG UN Equity,BBB,BBB,9061279010.12
PAYX UW Equity,#N/A,#N/A,26200949876.46
PBCT UW Equity,BBB+,BBB+,4437672014.05
QCOM UW Equity,A-,A-,123910800000.00
ROP UN Equity,BBB+,BBB+,45245501609.00
ROST UW Equity,A-,BBB+,31545332382.93
IDXX UW Equity,#N/A,#N/A,33026731079.10
SBUX UW Equity,BBB+,BBB+,88165980000.00
KEY UN Equity,BBB+,BBB+,11785199746.43
FOXA UW Equity,BBB,BBB,16256563739.12
FOX UW Equity,BBB,BBB,16258766703.01
STT UN Equity,A,A,22728719625.00
NCLH UN Equity,NR,NR,3791074552.64
USB UN Equity,A+,A+,54828923094.40
AOS UN Equity,#N/A,#N/A,7739571827.01
NLOK UW Equity,BB,BB,12906239717.28
TROW UW Equity,#N/A,#N/A,31135619004.27
WM UN Equity,A-,A-,45862386460.72
STZ UN Equity,BBB,BBB,33773299929.74
XLNX UW Equity,NR,NR,26141598000.00
XRAY UW Equity,BBB,BBB,10255155396.40
ZION UW Equity,BBB+,BBB+,5270252920.00
ALK UN Equity,BB+,BB-,4267196799.32
IVZ UN Equity,BBB+,BBB+,4527376059.94
LIN UN Equity,A,A,135265231704.48
INTU UW Equity,A-,A-,80548355355.90
MS UN Equity,BBB+,BBB+,77948960000.00
MCHP UW Equity,BBu,BBu,26827810171.59
CB UN Equity,A,A,56741206157.61
HOLX UW Equity,BB+,BB+,18569241851.40
CFG UN Equity,BBB+,BBB+,10324886928.86
